ndataset,es,errorsd,n,k,hyp_val,seed
52,0,0.81,20,2,0.1,556198033
53,0,0.81,20,2,0.1,570196845
54,0,0.81,20,2,0.1,956396500
55,0,0.81,20,2,0.1,176688929
56,0,0.81,20,2,0.1,1920807354
57,0,0.81,20,2,0.1,1319768692
58,0,0.81,20,2,0.1,726358056
59,0,0.81,20,2,0.1,10760285
60,0,0.81,20,2,0.1,1652279482
61,0,0.81,20,2,0.1,1655971890
62,0,0.81,20,2,0.1,1881927194
63,0,0.81,20,2,0.1,1229429073
64,0,0.81,20,2,0.1,1847234700
65,0,0.81,20,2,0.1,2073002987
66,0,0.81,20,2,0.1,192198431
67,0,0.81,20,2,0.1,1291559941
68,0,0.81,20,2,0.1,1088047182
69,0,0.81,20,2,0.1,1670319263
70,0,0.81,20,2,0.1,1701703807
71,0,0.81,20,2,0.1,23708816
72,0,0.81,20,2,0.1,1505608533
73,0,0.81,20,2,0.1,1132835881
74,0,0.81,20,2,0.1,1720276982
75,0,0.81,20,2,0.1,1659372169
76,0,0.81,20,2,0.1,455713417
77,0,0.81,20,2,0.1,1799286792
78,0,0.81,20,2,0.1,649121798
79,0,0.81,20,2,0.1,1745406623
80,0,0.81,20,2,0.1,1707137832
81,0,0.81,20,2,0.1,1811544960
82,0,0.81,20,2,0.1,100634959
83,0,0.81,20,2,0.1,1335261174
84,0,0.81,20,2,0.1,2127163349
85,0,0.81,20,2,0.1,538176043
86,0,0.81,20,2,0.1,2028137149
87,0,0.81,20,2,0.1,1888267652
88,0,0.81,20,2,0.1,1907173624
89,0,0.81,20,2,0.1,1342616681
90,0,0.81,20,2,0.1,2132504916
91,0,0.81,20,2,0.1,279767075
92,0,0.81,20,2,0.1,355665989
93,0,0.81,20,2,0.1,1997448795
94,0,0.81,20,2,0.1,63620414
95,0,0.81,20,2,0.1,399872829
96,0,0.81,20,2,0.1,1797936210
97,0,0.81,20,2,0.1,1639915037
98,0,0.81,20,2,0.1,214025422
99,0,0.81,20,2,0.1,399305436
100,0,0.81,20,2,0.1,1611295882
101,0,0.81,20,2,0.1,589343443
102,0,0.81,20,2,0.1,3586855
103,0,0.81,20,2,0.1,399534939
104,0,0.81,20,2,0.1,965101079
105,0,0.81,20,2,0.1,758911194
106,0,0.81,20,2,0.1,1195714557
107,0,0.81,20,2,0.1,392410241
108,0,0.81,20,2,0.1,336599986
109,0,0.81,20,2,0.1,1532560645
110,0,0.81,20,2,0.1,1277828165
111,0,0.81,20,2,0.1,342767209
112,0,0.81,20,2,0.1,1445687576
113,0,0.81,20,2,0.1,388675551
114,0,0.81,20,2,0.1,1609401727
115,0,0.81,20,2,0.1,526807488
116,0,0.81,20,2,0.1,1149848081
117,0,0.81,20,2,0.1,1524285133
118,0,0.81,20,2,0.1,1365692340
119,0,0.81,20,2,0.1,1009447252
120,0,0.81,20,2,0.1,304935688
121,0,0.81,20,2,0.1,655286375
122,0,0.81,20,2,0.1,2090144832
123,0,0.81,20,2,0.1,2078003247
124,0,0.81,20,2,0.1,1280234789
125,0,0.81,20,2,0.1,1147481367
126,0,0.81,20,2,0.1,757344422
127,0,0.81,20,2,0.1,1976265382
128,0,0.81,20,2,0.1,59172854
129,0,0.81,20,2,0.1,451162978
130,0,0.81,20,2,0.1,1527491461
131,0,0.81,20,2,0.1,1920114991
132,0,0.81,20,2,0.1,1561354442
133,0,0.81,20,2,0.1,1958562687
134,0,0.81,20,2,0.1,1976926560
135,0,0.81,20,2,0.1,562333132
136,0,0.81,20,2,0.1,1931720748
137,0,0.81,20,2,0.1,1425043278
138,0,0.81,20,2,0.1,436401041
139,0,0.81,20,2,0.1,1444772417
140,0,0.81,20,2,0.1,797600643
141,0,0.81,20,2,0.1,407498313
142,0,0.81,20,2,0.1,715236093
143,0,0.81,20,2,0.1,1094182983
144,0,0.81,20,2,0.1,523951390
145,0,0.81,20,2,0.1,424720342
146,0,0.81,20,2,0.1,980725342
147,0,0.81,20,2,0.1,1798569473
148,0,0.81,20,2,0.1,731227161
149,0,0.81,20,2,0.1,1812653507
150,0,0.81,20,2,0.1,1899085358
151,0,0.81,20,2,0.1,1420473401
152,0,0.81,20,2,0.1,176276427
153,0,0.81,20,2,0.1,2003366981
154,0,0.81,20,2,0.1,669514524
155,0,0.81,20,2,0.1,1522086814
156,0,0.81,20,2,0.1,1427066828
157,0,0.81,20,2,0.1,1473200692
158,0,0.81,20,2,0.1,1847161359
159,0,0.81,20,2,0.1,2010747462
160,0,0.81,20,2,0.1,920015911
161,0,0.81,20,2,0.1,1770563842
162,0,0.81,20,2,0.1,1946277248
163,0,0.81,20,2,0.1,1410986433
164,0,0.81,20,2,0.1,541094571
165,0,0.81,20,2,0.1,1450783151
166,0,0.81,20,2,0.1,1538669618
167,0,0.81,20,2,0.1,591819014
168,0,0.81,20,2,0.1,388677763
169,0,0.81,20,2,0.1,693419755
170,0,0.81,20,2,0.1,1889967189
171,0,0.81,20,2,0.1,1079692803
172,0,0.81,20,2,0.1,581988774
173,0,0.81,20,2,0.1,1850180472
174,0,0.81,20,2,0.1,120753984
175,0,0.81,20,2,0.1,616430104
176,0,0.81,20,2,0.1,1657145543
177,0,0.81,20,2,0.1,797719817
178,0,0.81,20,2,0.1,133486467
179,0,0.81,20,2,0.1,210322392
180,0,0.81,20,2,0.1,1180793138
181,0,0.81,20,2,0.1,1277860696
182,0,0.81,20,2,0.1,377876754
183,0,0.81,20,2,0.1,1837467786
184,0,0.81,20,2,0.1,2107990940
185,0,0.81,20,2,0.1,1231675002
186,0,0.81,20,2,0.1,1509308262
187,0,0.81,20,2,0.1,958503204
188,0,0.81,20,2,0.1,1276282479
189,0,0.81,20,2,0.1,1411269972
190,0,0.81,20,2,0.1,2092294439
191,0,0.81,20,2,0.1,2110279075
192,0,0.81,20,2,0.1,1916867522
193,0,0.81,20,2,0.1,497726985
194,0,0.81,20,2,0.1,534658014
195,0,0.81,20,2,0.1,127155681
196,0,0.81,20,2,0.1,1970050782
197,0,0.81,20,2,0.1,845477692
198,0,0.81,20,2,0.1,71862317
199,0,0.81,20,2,0.1,1100797126
200,0,0.81,20,2,0.1,492373666
201,0,0.81,20,2,0.1,955773397
202,0,0.81,20,2,0.1,980422376
203,0,0.81,20,2,0.1,330968372
204,0,0.81,20,2,0.1,1279683168
205,0,0.81,20,2,0.1,953862780
206,0,0.81,20,2,0.1,1427890507
207,0,0.81,20,2,0.1,1148306777
208,0,0.81,20,2,0.1,2052617361
209,0,0.81,20,2,0.1,314568668
210,0,0.81,20,2,0.1,563453957
211,0,0.81,20,2,0.1,461615616
212,0,0.81,20,2,0.1,1486159538
213,0,0.81,20,2,0.1,841642706
214,0,0.81,20,2,0.1,796680920
215,0,0.81,20,2,0.1,877534795
216,0,0.81,20,2,0.1,170244571
217,0,0.81,20,2,0.1,1040772926
218,0,0.81,20,2,0.1,1233649943
219,0,0.81,20,2,0.1,1778103180
220,0,0.81,20,2,0.1,739031670
221,0,0.81,20,2,0.1,1809755681
222,0,0.81,20,2,0.1,2141067516
223,0,0.81,20,2,0.1,768020235
224,0,0.81,20,2,0.1,306757527
225,0,0.81,20,2,0.1,300956221
226,0,0.81,20,2,0.1,1458042462
227,0,0.81,20,2,0.1,1605507409
228,0,0.81,20,2,0.1,1545373069
229,0,0.81,20,2,0.1,721467639
230,0,0.81,20,2,0.1,167153704
231,0,0.81,20,2,0.1,1600079368
232,0,0.81,20,2,0.1,482835129
233,0,0.81,20,2,0.1,1963479959
234,0,0.81,20,2,0.1,314398838
235,0,0.81,20,2,0.1,538358316
236,0,0.81,20,2,0.1,1753459472
237,0,0.81,20,2,0.1,423829340
238,0,0.81,20,2,0.1,1393649025
239,0,0.81,20,2,0.1,1353221435
240,0,0.81,20,2,0.1,1394586735
241,0,0.81,20,2,0.1,1315275964
242,0,0.81,20,2,0.1,1876387118
243,0,0.81,20,2,0.1,87790573
244,0,0.81,20,2,0.1,925313132
245,0,0.81,20,2,0.1,1784691133
246,0,0.81,20,2,0.1,914095049
247,0,0.81,20,2,0.1,453627733
248,0,0.81,20,2,0.1,1810753892
249,0,0.81,20,2,0.1,1086568383
250,0,0.81,20,2,0.1,1092179903
251,0,0.81,20,2,0.1,582837636
252,0,0.81,20,2,0.1,134798291
253,0,0.81,20,2,0.1,2094663577
254,0,0.81,20,2,0.1,1784316553
255,0,0.81,20,2,0.1,1746420497
256,0,0.81,20,2,0.1,1416525604
257,0,0.81,20,2,0.1,1253910611
258,0,0.81,20,2,0.1,818042453
259,0,0.81,20,2,0.1,2041549619
260,0,0.81,20,2,0.1,466703776
261,0,0.81,20,2,0.1,736056986
262,0,0.81,20,2,0.1,1380882839
263,0,0.81,20,2,0.1,378555602
264,0,0.81,20,2,0.1,482875018
265,0,0.81,20,2,0.1,475470544
266,0,0.81,20,2,0.1,2110874855
267,0,0.81,20,2,0.1,687882971
268,0,0.81,20,2,0.1,173399918
269,0,0.81,20,2,0.1,1770751663
270,0,0.81,20,2,0.1,88762963
271,0,0.81,20,2,0.1,699877697
272,0,0.81,20,2,0.1,1437745320
273,0,0.81,20,2,0.1,129795099
274,0,0.81,20,2,0.1,1935876895
275,0,0.81,20,2,0.1,438271707
276,0,0.81,20,2,0.1,1401449428
277,0,0.81,20,2,0.1,557199519
278,0,0.81,20,2,0.1,597045961
279,0,0.81,20,2,0.1,642130533
280,0,0.81,20,2,0.1,1224525155
281,0,0.81,20,2,0.1,2087191614
282,0,0.81,20,2,0.1,1984726165
283,0,0.81,20,2,0.1,2085533727
284,0,0.81,20,2,0.1,5135331
285,0,0.81,20,2,0.1,1092225752
286,0,0.81,20,2,0.1,1175575330
287,0,0.81,20,2,0.1,1148721696
288,0,0.81,20,2,0.1,738756448
289,0,0.81,20,2,0.1,1637793646
290,0,0.81,20,2,0.1,1170797605
291,0,0.81,20,2,0.1,948410039
292,0,0.81,20,2,0.1,957541720
293,0,0.81,20,2,0.1,1085824395
294,0,0.81,20,2,0.1,1806407812
295,0,0.81,20,2,0.1,1238017029
296,0,0.81,20,2,0.1,938929928
297,0,0.81,20,2,0.1,708803634
298,0,0.81,20,2,0.1,1457711100
299,0,0.81,20,2,0.1,281084128
300,0,0.81,20,2,0.1,979681183
301,0,0.81,20,2,0.1,1073859011
302,0,0.81,20,2,0.1,1699371314
303,0,0.81,20,2,0.1,510824639
304,0,0.81,20,2,0.1,432873426
305,0,0.81,20,2,0.1,1883118314
306,0,0.81,20,2,0.1,402571707
307,0,0.81,20,2,0.1,1266171625
308,0,0.81,20,2,0.1,809300354
309,0,0.81,20,2,0.1,1574845015
310,0,0.81,20,2,0.1,1215265130
311,0,0.81,20,2,0.1,1725185466
312,0,0.81,20,2,0.1,1711500458
313,0,0.81,20,2,0.1,1274162308
314,0,0.81,20,2,0.1,356390223
315,0,0.81,20,2,0.1,1836856340
316,0,0.81,20,2,0.1,1483191257
317,0,0.81,20,2,0.1,1739071960
318,0,0.81,20,2,0.1,328632097
319,0,0.81,20,2,0.1,292631401
320,0,0.81,20,2,0.1,8020430
321,0,0.81,20,2,0.1,1342214168
322,0,0.81,20,2,0.1,1471531690
323,0,0.81,20,2,0.1,1884687899
324,0,0.81,20,2,0.1,2140883018
325,0,0.81,20,2,0.1,297370005
326,0,0.81,20,2,0.1,1815279214
327,0,0.81,20,2,0.1,67065470
328,0,0.81,20,2,0.1,1040756694
329,0,0.81,20,2,0.1,1524754235
330,0,0.81,20,2,0.1,822147147
331,0,0.81,20,2,0.1,679220617
332,0,0.81,20,2,0.1,2034704035
333,0,0.81,20,2,0.1,1556266436
334,0,0.81,20,2,0.1,375348366
335,0,0.81,20,2,0.1,2018377967
336,0,0.81,20,2,0.1,1879779177
337,0,0.81,20,2,0.1,1903797682
338,0,0.81,20,2,0.1,598363935
339,0,0.81,20,2,0.1,1642150996
340,0,0.81,20,2,0.1,1696271391
341,0,0.81,20,2,0.1,1321084210
342,0,0.81,20,2,0.1,219677528
343,0,0.81,20,2,0.1,841923809
344,0,0.81,20,2,0.1,2106318010
345,0,0.81,20,2,0.1,614929680
346,0,0.81,20,2,0.1,1796419804
347,0,0.81,20,2,0.1,214326081
348,0,0.81,20,2,0.1,65862827
349,0,0.81,20,2,0.1,490574084
350,0,0.81,20,2,0.1,656858475
351,0,0.81,20,2,0.1,262072219
352,0,0.81,20,2,0.1,930153162
353,0,0.81,20,2,0.1,1987699608
354,0,0.81,20,2,0.1,979027451
355,0,0.81,20,2,0.1,818321921
356,0,0.81,20,2,0.1,1990023245
357,0,0.81,20,2,0.1,1400359650
358,0,0.81,20,2,0.1,730132842
359,0,0.81,20,2,0.1,1386480898
360,0,0.81,20,2,0.1,1967981331
361,0,0.81,20,2,0.1,136309479
362,0,0.81,20,2,0.1,761004791
363,0,0.81,20,2,0.1,1717174721
364,0,0.81,20,2,0.1,1940355604
365,0,0.81,20,2,0.1,249072174
366,0,0.81,20,2,0.1,1039814893
367,0,0.81,20,2,0.1,468302069
368,0,0.81,20,2,0.1,688081590
369,0,0.81,20,2,0.1,374048967
370,0,0.81,20,2,0.1,1037223355
371,0,0.81,20,2,0.1,81693393
372,0,0.81,20,2,0.1,880420280
373,0,0.81,20,2,0.1,2108536462
374,0,0.81,20,2,0.1,1123219949
375,0,0.81,20,2,0.1,368190071
376,0,0.81,20,2,0.1,1364229275
377,0,0.81,20,2,0.1,1920370840
378,0,0.81,20,2,0.1,1507482017
379,0,0.81,20,2,0.1,136883623
380,0,0.81,20,2,0.1,1071109391
381,0,0.81,20,2,0.1,348995681
382,0,0.81,20,2,0.1,933521442
383,0,0.81,20,2,0.1,1049682532
384,0,0.81,20,2,0.1,1155450124
385,0,0.81,20,2,0.1,463567725
386,0,0.81,20,2,0.1,226348724
387,0,0.81,20,2,0.1,1086028154
388,0,0.81,20,2,0.1,1316450608
389,0,0.81,20,2,0.1,27677246
390,0,0.81,20,2,0.1,972497171
391,0,0.81,20,2,0.1,1451855061
392,0,0.81,20,2,0.1,314632668
393,0,0.81,20,2,0.1,2005995086
394,0,0.81,20,2,0.1,1549099345
395,0,0.81,20,2,0.1,1432968394
396,0,0.81,20,2,0.1,1325967836
397,0,0.81,20,2,0.1,2071349565
398,0,0.81,20,2,0.1,897961230
399,0,0.81,20,2,0.1,897153913
400,0,0.81,20,2,0.1,114207973
401,0,0.81,20,2,0.1,1859917739
402,0,0.81,20,2,0.1,2098393572
403,0,0.81,20,2,0.1,1547803910
404,0,0.81,20,2,0.1,1562573710
405,0,0.81,20,2,0.1,1049151878
406,0,0.81,20,2,0.1,1653817350
407,0,0.81,20,2,0.1,1456604466
408,0,0.81,20,2,0.1,1287383180
409,0,0.81,20,2,0.1,166716512
410,0,0.81,20,2,0.1,2088392151
411,0,0.81,20,2,0.1,1997694679
412,0,0.81,20,2,0.1,183888157
413,0,0.81,20,2,0.1,585788005
414,0,0.81,20,2,0.1,1174364596
415,0,0.81,20,2,0.1,238443988
416,0,0.81,20,2,0.1,769169624
417,0,0.81,20,2,0.1,1497065945
418,0,0.81,20,2,0.1,574125641
419,0,0.81,20,2,0.1,2137145927
420,0,0.81,20,2,0.1,558984427
421,0,0.81,20,2,0.1,1526714461
422,0,0.81,20,2,0.1,66914090
423,0,0.81,20,2,0.1,1205681203
424,0,0.81,20,2,0.1,1952323800
425,0,0.81,20,2,0.1,338991684
426,0,0.81,20,2,0.1,1174385660
427,0,0.81,20,2,0.1,999163766
428,0,0.81,20,2,0.1,1131388657
429,0,0.81,20,2,0.1,608447747
430,0,0.81,20,2,0.1,229984594
431,0,0.81,20,2,0.1,315585231
432,0,0.81,20,2,0.1,106015752
433,0,0.81,20,2,0.1,548069197
434,0,0.81,20,2,0.1,1059802174
435,0,0.81,20,2,0.1,687296584
436,0,0.81,20,2,0.1,1381297468
437,0,0.81,20,2,0.1,410224453
438,0,0.81,20,2,0.1,186695079
439,0,0.81,20,2,0.1,83579427
440,0,0.81,20,2,0.1,1388058623
441,0,0.81,20,2,0.1,1703928158
442,0,0.81,20,2,0.1,625075000
443,0,0.81,20,2,0.1,37300463
444,0,0.81,20,2,0.1,511029798
445,0,0.81,20,2,0.1,432812473
446,0,0.81,20,2,0.1,330908543
447,0,0.81,20,2,0.1,463835254
448,0,0.81,20,2,0.1,961852960
449,0,0.81,20,2,0.1,561830063
450,0,0.81,20,2,0.1,1905192266
451,0,0.81,20,2,0.1,667581826
452,0,0.81,20,2,0.1,896927222
453,0,0.81,20,2,0.1,1064326462
454,0,0.81,20,2,0.1,1247681934
455,0,0.81,20,2,0.1,1154630471
456,0,0.81,20,2,0.1,1558416618
457,0,0.81,20,2,0.1,2104692354
458,0,0.81,20,2,0.1,394868137
459,0,0.81,20,2,0.1,723004568
460,0,0.81,20,2,0.1,820491303
461,0,0.81,20,2,0.1,2001405253
462,0,0.81,20,2,0.1,1103609344
463,0,0.81,20,2,0.1,88871542
464,0,0.81,20,2,0.1,1349364235
465,0,0.81,20,2,0.1,2046191621
466,0,0.81,20,2,0.1,1020680973
467,0,0.81,20,2,0.1,337131779
468,0,0.81,20,2,0.1,1744003064
469,0,0.81,20,2,0.1,1320258752
470,0,0.81,20,2,0.1,1304501491
471,0,0.81,20,2,0.1,1860818755
472,0,0.81,20,2,0.1,568547160
473,0,0.81,20,2,0.1,1356981334
474,0,0.81,20,2,0.1,285660791
475,0,0.81,20,2,0.1,2121627983
476,0,0.81,20,2,0.1,1057555063
477,0,0.81,20,2,0.1,1089789624
478,0,0.81,20,2,0.1,171088120
479,0,0.81,20,2,0.1,1017420418
480,0,0.81,20,2,0.1,709421696
481,0,0.81,20,2,0.1,942723007
482,0,0.81,20,2,0.1,882081729
483,0,0.81,20,2,0.1,85798896
484,0,0.81,20,2,0.1,1412409622
485,0,0.81,20,2,0.1,629257327
486,0,0.81,20,2,0.1,1402598370
487,0,0.81,20,2,0.1,424907116
488,0,0.81,20,2,0.1,925703434
489,0,0.81,20,2,0.1,1955062714
490,0,0.81,20,2,0.1,333806710
491,0,0.81,20,2,0.1,1539042757
492,0,0.81,20,2,0.1,1112372723
493,0,0.81,20,2,0.1,1021827756
494,0,0.81,20,2,0.1,1205926919
495,0,0.81,20,2,0.1,773393688
496,0,0.81,20,2,0.1,1059743077
497,0,0.81,20,2,0.1,729053663
498,0,0.81,20,2,0.1,1912040276
499,0,0.81,20,2,0.1,1845999767
500,0,0.81,20,2,0.1,1143599381
501,0,0.81,20,2,0.1,1410627966
502,0,0.81,20,2,0.1,1279837257
503,0,0.81,20,2,0.1,1125371384
504,0,0.81,20,2,0.1,851234971
505,0,0.81,20,2,0.1,414449589
506,0,0.81,20,2,0.1,1634901508
507,0,0.81,20,2,0.1,966816241
508,0,0.81,20,2,0.1,1263287586
509,0,0.81,20,2,0.1,2043288595
510,0,0.81,20,2,0.1,1574426516
511,0,0.81,20,2,0.1,1713052710
512,0,0.81,20,2,0.1,1348227236
513,0,0.81,20,2,0.1,9712779
514,0,0.81,20,2,0.1,1313064380
515,0,0.81,20,2,0.1,669547226
516,0,0.81,20,2,0.1,1074024886
517,0,0.81,20,2,0.1,1861456914
518,0,0.81,20,2,0.1,1436161754
519,0,0.81,20,2,0.1,811599567
520,0,0.81,20,2,0.1,2070604547
521,0,0.81,20,2,0.1,371234418
522,0,0.81,20,2,0.1,1606008452
523,0,0.81,20,2,0.1,537276743
524,0,0.81,20,2,0.1,769678027
525,0,0.81,20,2,0.1,416724052
526,0,0.81,20,2,0.1,446188409
527,0,0.81,20,2,0.1,616429217
528,0,0.81,20,2,0.1,160829016
529,0,0.81,20,2,0.1,939851329
530,0,0.81,20,2,0.1,1722347380
531,0,0.81,20,2,0.1,395911711
532,0,0.81,20,2,0.1,606757701
533,0,0.81,20,2,0.1,756156731
534,0,0.81,20,2,0.1,188165595
535,0,0.81,20,2,0.1,810087877
536,0,0.81,20,2,0.1,538923331
537,0,0.81,20,2,0.1,895611618
538,0,0.81,20,2,0.1,1489954622
539,0,0.81,20,2,0.1,463200970
540,0,0.81,20,2,0.1,156606930
541,0,0.81,20,2,0.1,1313190014
542,0,0.81,20,2,0.1,1647677605
543,0,0.81,20,2,0.1,557746691
544,0,0.81,20,2,0.1,889488356
545,0,0.81,20,2,0.1,339945535
546,0,0.81,20,2,0.1,690318041
547,0,0.81,20,2,0.1,806838158
548,0,0.81,20,2,0.1,405078568
549,0,0.81,20,2,0.1,349212312
550,0,0.81,20,2,0.1,1372551608
551,0,0.81,20,2,0.1,1622890001
552,0,0.81,20,2,0.1,509994022
553,0,0.81,20,2,0.1,225802206
554,0,0.81,20,2,0.1,855673970
555,0,0.81,20,2,0.1,2036956932
556,0,0.81,20,2,0.1,1671272839
557,0,0.81,20,2,0.1,534607584
558,0,0.81,20,2,0.1,60362680
559,0,0.81,20,2,0.1,852830765
560,0,0.81,20,2,0.1,1076620482
561,0,0.81,20,2,0.1,1524488610
562,0,0.81,20,2,0.1,778390222
563,0,0.81,20,2,0.1,89103528
564,0,0.81,20,2,0.1,1611874791
565,0,0.81,20,2,0.1,872175278
566,0,0.81,20,2,0.1,1670147564
567,0,0.81,20,2,0.1,977865450
568,0,0.81,20,2,0.1,515023951
569,0,0.81,20,2,0.1,794519335
570,0,0.81,20,2,0.1,1862026882
571,0,0.81,20,2,0.1,1383132275
572,0,0.81,20,2,0.1,2077372333
573,0,0.81,20,2,0.1,1745650048
574,0,0.81,20,2,0.1,1451036067
575,0,0.81,20,2,0.1,45656215
576,0,0.81,20,2,0.1,316877663
577,0,0.81,20,2,0.1,706194915
578,0,0.81,20,2,0.1,1306200248
579,0,0.81,20,2,0.1,1249422802
580,0,0.81,20,2,0.1,428391166
581,0,0.81,20,2,0.1,1947580076
582,0,0.81,20,2,0.1,696210521
583,0,0.81,20,2,0.1,42728877
584,0,0.81,20,2,0.1,119817960
585,0,0.81,20,2,0.1,778242521
586,0,0.81,20,2,0.1,573200351
587,0,0.81,20,2,0.1,913800154
588,0,0.81,20,2,0.1,1175722384
589,0,0.81,20,2,0.1,640615944
590,0,0.81,20,2,0.1,1416549368
591,0,0.81,20,2,0.1,1983780403
592,0,0.81,20,2,0.1,1973793152
593,0,0.81,20,2,0.1,1378864481
594,0,0.81,20,2,0.1,1347351570
595,0,0.81,20,2,0.1,59368570
596,0,0.81,20,2,0.1,1205367447
597,0,0.81,20,2,0.1,1352162386
598,0,0.81,20,2,0.1,1257905736
599,0,0.81,20,2,0.1,2021248202
600,0,0.81,20,2,0.1,81170127
601,0,0.81,20,2,0.1,205845652
602,0,0.81,20,2,0.1,1645550040
603,0,0.81,20,2,0.1,1636223684
604,0,0.81,20,2,0.1,155292194
605,0,0.81,20,2,0.1,403565622
606,0,0.81,20,2,0.1,525670158
607,0,0.81,20,2,0.1,2104242176
608,0,0.81,20,2,0.1,1233038135
609,0,0.81,20,2,0.1,233901444
610,0,0.81,20,2,0.1,1163892975
611,0,0.81,20,2,0.1,834570977
612,0,0.81,20,2,0.1,910668479
613,0,0.81,20,2,0.1,743862835
614,0,0.81,20,2,0.1,1285060140
615,0,0.81,20,2,0.1,169091530
616,0,0.81,20,2,0.1,193339420
617,0,0.81,20,2,0.1,504288150
618,0,0.81,20,2,0.1,905564872
619,0,0.81,20,2,0.1,977877274
620,0,0.81,20,2,0.1,2146362973
621,0,0.81,20,2,0.1,1871445136
622,0,0.81,20,2,0.1,2040130051
623,0,0.81,20,2,0.1,740639051
624,0,0.81,20,2,0.1,238312856
625,0,0.81,20,2,0.1,1568746233
626,0,0.81,20,2,0.1,2028960364
627,0,0.81,20,2,0.1,1977705652
628,0,0.81,20,2,0.1,416196836
629,0,0.81,20,2,0.1,1973400228
630,0,0.81,20,2,0.1,2084183574
631,0,0.81,20,2,0.1,421797649
632,0,0.81,20,2,0.1,2024179913
633,0,0.81,20,2,0.1,1517263728
634,0,0.81,20,2,0.1,1913013181
635,0,0.81,20,2,0.1,694057863
636,0,0.81,20,2,0.1,2052298605
637,0,0.81,20,2,0.1,780841700
638,0,0.81,20,2,0.1,934803891
639,0,0.81,20,2,0.1,1626265834
640,0,0.81,20,2,0.1,140797312
641,0,0.81,20,2,0.1,2126179505
642,0,0.81,20,2,0.1,631115886
643,0,0.81,20,2,0.1,638271141
644,0,0.81,20,2,0.1,1864983753
645,0,0.81,20,2,0.1,577424231
646,0,0.81,20,2,0.1,258951576
647,0,0.81,20,2,0.1,839686562
648,0,0.81,20,2,0.1,1636137776
649,0,0.81,20,2,0.1,824026263
650,0,0.81,20,2,0.1,1584284306
651,0,0.81,20,2,0.1,2078657206
652,0,0.81,20,2,0.1,1881523932
653,0,0.81,20,2,0.1,1987947868
654,0,0.81,20,2,0.1,1428162060
655,0,0.81,20,2,0.1,1675152206
656,0,0.81,20,2,0.1,1286687995
657,0,0.81,20,2,0.1,1744929933
658,0,0.81,20,2,0.1,1704063868
659,0,0.81,20,2,0.1,1279373459
660,0,0.81,20,2,0.1,1263478207
661,0,0.81,20,2,0.1,1368431811
662,0,0.81,20,2,0.1,1975760401
663,0,0.81,20,2,0.1,623935092
664,0,0.81,20,2,0.1,921797860
665,0,0.81,20,2,0.1,1795667757
666,0,0.81,20,2,0.1,1890166550
667,0,0.81,20,2,0.1,813390414
668,0,0.81,20,2,0.1,1913381902
669,0,0.81,20,2,0.1,1819164375
670,0,0.81,20,2,0.1,1118799221
671,0,0.81,20,2,0.1,59741273
672,0,0.81,20,2,0.1,176368755
673,0,0.81,20,2,0.1,82883341
674,0,0.81,20,2,0.1,1451363256
675,0,0.81,20,2,0.1,1606598264
676,0,0.81,20,2,0.1,1359182595
677,0,0.81,20,2,0.1,1656048022
678,0,0.81,20,2,0.1,827295392
679,0,0.81,20,2,0.1,23270087
